EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5128354,SAN BERNARDINO CO.,LAKE ARROWHEAD,01/06/2000,426,Wildfire, , ,0,1,30000,0,CA,PST, ,1090286,C,71,SGX,0,0,NEWSPAPER, , , , , , , ,LAKE ARROWHEAD,01/06/2000,1000, , , , ,"","Santa Ana winds blew over four semi-tractor trailer rigs on Interstates 10, 15, 215 and State Highway 60 between Devore and Ontario, causing a ten hour traffic delay between the AppleValley and the Inland Empire. Elsewhere around the Inland Empire, blowing sand and dust drifted across roads and  reduced visibilities to near zero, further disrupting travel. In Rialto, several roofs had shingles ripped off and one plate glass window was blown in. Trees and power lines and poles were also blown down, causing power outages to 10,000 customers. Sparks from power lines banging together started a house fire with the winds blowing embers onto adjacent fields and starting a wild fire.",1
5127543,PALM BEACH CO.,WEST PALM BEACH,01/17/2000,1950,Wildfire, , ,0,0,20000,0,FL,EST, ,1090034,C,99,MFL,0,0,EMERGENCY MANAGER, , , ,10,W,10,W,WEST PALM BEACH,01/17/2000,2100, , , , ,"","A 5-acre brush fire destroyed two storage trailers.",2
5134633,SAN DIEGO CO.,PAUMA VLY,02/02/2000,1200,Wildfire, , ,0,0,0,0,CA,PST, ,1091747,C,73,SGX,0,0,NEWSPAPER, , , , , , , ,PAUMA VLY,02/02/2000,1730, , , , ,"","200 firefighters and 2 helicopters fought a brush fire that was fanned by strong winds. Spotters estimated winds between 20 and 35 mph with gusts betwenn 50 and 65 mph.",3
5132270,LYMAN CO.,KENNEBEC,02/19/2000,1300,Wildfire, , ,0,0,0,0,SD,CST, ,1091802,C,85,ABR,0,0,NEWSPAPER, , , , , , , ,KENNEBEC,02/19/2000,1700, , , , ,"","Due to the extremely dry and windy conditions, a fire, believed to be started by a discarded cigarette, burned about 40 square miles of grassland between Kennebec and Lower Brule.  The fire threatened a ranch but changed directions before anyone had to be evacuated.",4
5134204,LEE CO.,LEHIGH ACRES,02/23/2000,1440,Wildfire, , ,0,0,750000,0,FL,EST, ,1091741,C,71,TBW,0,0,NEWSPAPER, , , , , , , ,LEHIGH ACRES,02/23/2000,1800, , , , ,"","Brush fires destroyed five homes, damaged a dozen others and seered 600 acres in Lehigh Acres.  The fires ignited near Inez and Joan Avenues and spread to Sunshine Boulevard in Lehigh Acres.  Four homes were destroyed on 4th, 7th and 9th Streets east of Terry Avenue in Lehigh Acres.  A fifth home was destroyed by fire near Alexander Graham Bell and Jaguar Boulevards in Lehigh Acres.",5
5135368,LAFAYETTE CO.,SOUTHWEST PORTION,03/01/2000,0,Wildfire, , ,0,0,250000,0,FL,EST, ,1092116,C,67,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,SOUTHWEST PORTION,03/03/2000,1700, , , , ,"The "Highway 51" wildfire consumed 4,121 acres. Twelve homes were threatened, but no evacuations ordered. Two out buildings were destroyed. A local state of emergency was declared. More than 50 Division of Forestry and local fire department personnel were involved in the containment. Smoke reduced visibilities along U.S. Highway 27 and State Highway 51.  Reported by the FL DEM.","",6
5135451,GULF CO.,SOUTHEAST PORTION,03/01/2000,700,Wildfire, , ,0,0,0,0,FL,EST, ,1092116,C,45,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,SOUTHEAST PORTION,03/01/2000,2000, , , , ,"A 250-acre controlled burn spread out of control and consumed 1,400 acres.  No structures were threatened.  Reported by the FL DEM.","",7
5135452,FRANKLIN CO.,FT GADSDEN,03/03/2000,500,Wildfire, , ,0,0,0,0,FL,EST, ,1092116,C,37,TAE,0,0,EMERGENCY MANAGER, , , ,3,E,3,E,FT GADSDEN,03/03/2000,500, , , , ,"A controlled burn in Tates Hell Swamp spread out of control and consumed approximately 2,500 acres.  No structures were threatened.  Reported by the FL DEM.","",8
5134820,ATLANTIC CO.,SOMERS PT,03/05/2000,1245,Wildfire, , ,0,0,0,0,NJ,EST, ,1092092,C,1,PHI,0,0,NEWSPAPER, , , , , , , ,SOMERS PT,03/05/2000,1500, , , , ,"","A fast moving brush fire, exacerbated by strong gusty northwest winds, forced the evacuation of an apartment complex in Somers Point and the closure of the Garden State Parkway for 80 minutes. The fire started as a grass fire on Hoter Avenue in Somers Point shortly before 1 p.m. EST. It spread into the meadow grass and the strong gusty northwest winds extended it beyond the Garden State Parkway.  The fire came dangerously close to three buildings in the Somers Point Village Apartments before it was extinguished at 247 p.m. EST. About 15 acres were burned. The same day at about  4 p.m. EST another small brush fire occurred at the site of a proprosed recreation center in Brick Township in Ocean County. It was extingusihed in 15 minutes. The peak wind gust at the Atlantic City International Airport in Pomona was 33 mph.",9
5138152,DOUGLAS CO.,DELMONT,03/06/2000,1300,Wildfire, , ,1,1,5000,0,SD,CST, ,1092877,C,43,FSD,0,0,NEWSPAPER, , , , , , , ,DELMONT,03/06/2000,1700, , , , ,"","A controlled burn went out of control, exacerbated by the conditions and strong winds. The fire caused fatal burns to one firefighter and injured another. Damage was confined to grassland.",10
