Year (Date),COUNTRY,EPI Indicator Score
1999,Malta,79.164246805246
1999,India,58.3701493193709
1999,United States of America,53.5417339556951
1999,China,100
1999,Denmark,51.1944868692577
2000,United States of America,55.7177827228308
2000,Malta,91.5300815501355
2000,Denmark,66.8024615513171
2000,India,62.4157419837726
2000,China,100
2001,India,64.101685892972
2001,United States of America,57.2288954571981
2001,Malta,93.2584593422664
2001,Denmark,70.5768417827417
2001,China,100
2002,India,65.3628364903348
2002,Malta,98.5980663656325
2002,China,100
2002,United States of America,57.674115206693
2002,Denmark,77.53052958576
2003,Malta,81.6765245463005
2003,Denmark,75.5992231081137
2003,United States of America,57.2061016424757
2003,China,92.8628865695572
2003,India,66.6985012380617
2004,China,82.0800853033159
2004,Malta,68.0815670305149
2004,Denmark,76.2664432919333
2004,United States of America,56.801980509459
2004,India,67.7841936198444
2005,Denmark,81.4722041138273
2005,China,68.1371342618094
2005,India,69.1538495919408
2005,United States of America,56.4689340754569
2005,Malta,58.4771580123203
2006,China,55.04598741134
2006,Malta,52.7764454362612
2006,India,70.1563006836094
2006,Denmark,68.672726056709
2006,United States of America,56.6251492683407
2007,Denmark,64.6282600892785
2007,United States of America,55.1260025343341
2007,India,68.9947832809992
2007,Malta,39.5628742894111
2007,China,47.9380857007261
2008,Denmark,61.2553547871834
2008,United States of America,54.5074439497347
2008,India,64.5765658202924
2008,Malta,39.5076015752683
2008,China,46.2114938785374
2009,Denmark,59.6131045783407
2009,United States of America,55.1792779468519
2009,Malta,34.784059130797
2009,India,60.4765899045121
2009,China,48.1992053601813
2010,Malta,47.2535959734109
2010,Denmark,59.8282908062765
2010,United States of America,53.8875234869337
2010,India,58.45609240257
2010,China,52.5350105877677
2011,Denmark,62.3226790635251
2011,Malta,48.3880391657165
2011,United States of America,53.9550544353549
2011,India,55.7451483689505
2011,China,58.2735185580841
2012,Denmark,66.4911735919949
2012,United States of America,55.202930537519
2012,Malta,53.6742568620482
2012,India,52.0573459874433
2012,China,65.4764216972174
2013,United States of America,55.1345948710905
2013,India,51.8702856854521
2013,Malta,61.9839414570401
2013,China,70.368130547793
2013,Denmark,62.7853147306738
2014,United States of America,54.5585656501428
2014,India,51.2471333426932
2014,China,72.9701124318064
2014,Denmark,67.1800919011406
2014,Malta,70.0911935599517
2015,United States of America,55.7042587035989
2015,India,53.3192855838158
2015,Malta,92.6869119888848
2015,China,75.432180262895
2015,Denmark,76.7601145245871
2016,United States of America,58.751997588251
2016,Malta,100
2016,India,58.5324785881291
2016,China,78.4825555590263
2016,Denmark,77.8783385129693
2017,United States of America,60.2716360164803
2017,Malta,100
2017,India,64.2595189496896
2017,Denmark,83.0755130126096
2017,China,83.2631118271136
2018,United States of America,59.9770936332527
2018,Malta,100
2018,India,65.9200753871812
2018,China,87.2693614708701
2018,Denmark,85.9783224362638
2019,Malta,100
2019,India,65.9403024428928
2019,United States of America,61.2035552005934
2019,China,89.932919517178
2019,Denmark,88.625293668961
