Year (Date),COUNTRY,EPI Indicator Score
1999,Denmark,100
1999,China,48.3117970183755
1999,Malta,100
1999,United States of America,100
1999,India,58.1470888993616
2000,Malta,100
2000,Denmark,100
2000,India,59.5646048414777
2000,China,66.0216832742015
2000,United States of America,100
2001,Malta,100
2001,India,59.6274263538612
2001,Denmark,100
2001,China,85.0311862640351
2001,United States of America,100
2002,China,100
2002,United States of America,100
2002,Malta,100
2002,Denmark,100
2002,India,58.0739128924292
2003,China,100
2003,United States of America,100
2003,Denmark,100
2003,Malta,100
2003,India,57.547070469274
2004,Malta,100
2004,China,100
2004,United States of America,100
2004,India,55.2838462570598
2004,Denmark,100
2005,United States of America,100
2005,China,94.5294421565467
2005,Malta,100
2005,Denmark,100
2005,India,54.0526883466244
2006,Malta,100
2006,United States of America,93.0446446287739
2006,China,71.7769317891339
2006,India,54.9872885609507
2006,Denmark,100
2007,China,53.9071582799062
2007,Denmark,92.0265365991636
2007,United States of America,79.3970175543718
2007,India,51.4841354040121
2007,Malta,77.8264622916668
2008,United States of America,76.2921437089927
2008,China,47.0920232843757
2008,Malta,17.0903341340126
2008,India,46.1546215842755
2008,Denmark,83.123289618717
2009,United States of America,82.8922334109419
2009,Malta,0
2009,China,48.0077468173231
2009,India,35.1367255039297
2009,Denmark,79.8999856919797
2010,China,53.7766402067412
2010,Malta,0
2010,India,26.1848374636878
2010,Denmark,83.5520665851344
2010,United States of America,90.6617274169272
2011,Malta,0
2011,China,60.783798950741
2011,United States of America,100
2011,Denmark,88.9384210644961
2011,India,20.6817543533123
2012,China,69.9888013616924
2012,India,18.1080399017816
2012,Malta,25.3331178980606
2012,United States of America,100
2012,Denmark,100
2013,Malta,56.069227848526
2013,China,86.0433903500907
2013,India,21.1557446524575
2013,United States of America,100
2013,Denmark,100
2014,Malta,74.5249112801489
2014,China,100
2014,India,26.9134963506856
2014,United States of America,100
2014,Denmark,100
2015,China,100
2015,Malta,90.8559086980803
2015,India,37.8952115143041
2015,United States of America,100
2015,Denmark,100
2016,Malta,100
2016,China,100
2016,United States of America,100
2016,Denmark,100
2016,India,54.4018711346736
2017,Malta,100
2017,India,70.3835066182639
2017,China,100
2017,United States of America,100
2017,Denmark,100
2018,Malta,100
2018,China,100
2018,India,88.8225594214157
2018,United States of America,100
2018,Denmark,100
2019,India,100
2019,China,100
2019,United States of America,100
2019,Denmark,100
2019,Malta,100
