Year (Date),COUNTRY,EPI Indicator Score
1999,United States of America,40.0225076617224
1999,India,14.0257625474536
1999,Malta,48.487464552955
1999,Denmark,42.3481353660685
1999,China,24.255196895609
2000,Malta,52.9423458981496
2000,United States of America,38.9888740069859
2000,China,28.97475987147
2000,India,15.6849624123013
2000,Denmark,53.6378575202787
2001,United States of America,40.0882596027893
2001,Malta,52.6958581864282
2001,Denmark,57.333168615201
2001,China,33.4812282348812
2001,India,18.710206367975
2002,China,35.108061511104
2002,Malta,59.0337896606385
2002,Denmark,69.4163499718134
2002,United States of America,41.1976089888472
2002,India,22.1381502206383
2003,China,30.8205316966366
2003,Denmark,72.9287041876897
2003,Malta,46.3112291475536
2003,India,25.5934347490532
2003,United States of America,42.208954745651
2004,Denmark,77.4032332273465
2004,China,22.2501615450768
2004,Malta,40.2126930778001
2004,India,27.4808163026478
2004,United States of America,42.9558539372384
2005,China,10.0400990630736
2005,Denmark,88.8489575630976
2005,India,27.9262180715499
2005,Malta,36.9805433657551
2005,United States of America,44.0762448592275
2006,China,0
2006,Malta,37.7713093588997
2006,United States of America,45.8560820467481
2006,India,26.0034692228022
2006,Denmark,67.3560864130893
2007,United States of America,46.6230175294043
2007,Denmark,62.6017539895028
2007,Malta,32.8899377188515
2007,China,0
2007,India,23.2602112380112
2008,Denmark,60.8831211339924
2008,United States of America,48.7740736893594
2008,India,19.5301091606652
2008,China,0
2008,Malta,36.9710352188301
2009,Denmark,63.9680898748353
2009,Malta,39.8081396434962
2009,China,0
2009,United States of America,52.5601457336135
2009,India,13.2731813810252
2010,Malta,46.2987645941164
2010,Denmark,67.6583518014331
2010,China,0
2010,United States of America,53.9313169613507
2010,India,9.38303722871613
2011,Denmark,72.8178174336127
2011,Malta,47.717988394055
2011,India,7.08568704769544
2011,United States of America,57.7987801467352
2011,China,0
2012,China,0
2012,Malta,50.7538379702659
2012,United States of America,63.2634396289035
2012,India,5.5551481180367
2012,Denmark,79.2355518545538
2013,United States of America,66.5246543452839
2013,India,6.77507890225027
2013,Malta,56.447029411872
2013,Denmark,73.2739455312115
2013,China,0.266103374439709
2014,United States of America,65.9985426657603
2014,India,6.70306264861139
2014,Denmark,80.9753761214514
2014,China,7.35798645257729
2014,Malta,62.1870201452558
2015,United States of America,64.0197713547122
2015,India,7.9875938527222
2015,Malta,84.7573359197812
2015,Denmark,96.3044682788523
2015,China,14.8992317712812
2016,Denmark,100
2016,United States of America,64.4137111926531
2016,Malta,100
2016,India,10.7839778811499
2016,China,22.3850283158877
2017,Denmark,100
2017,Malta,100
2017,United States of America,61.9641554688937
2017,India,14.1900926353571
2017,China,29.1741080139101
2018,United States of America,56.8329162544262
2018,Denmark,100
2018,Malta,100
2018,India,16.1648390946115
2018,China,35.1385285786235
2019,Denmark,100
2019,United States of America,57.8368756074952
2019,India,17.6115622130936
2019,China,40.2053712564815
2019,Malta,87.4830307435484
