Year (Date),COUNTRY,EPI Indicator Score
1999,India,50.4927562263876
1999,United States of America,52.8540180571166
1999,Malta,0
1999,Denmark,75.8868502095813
1999,China,7.1449498788789
2000,Denmark,82.2556794272166
2000,United States of America,45.9374494672169
2000,India,41.9705961679208
2000,Malta,0
2000,China,0
2001,Malta,0
2001,China,0
2001,United States of America,42.1462833660427
2001,India,34.8691851854396
2001,Denmark,92.2283565936903
2002,Malta,0
2002,India,34.035746896316
2002,Denmark,98.0499048827233
2002,China,0.295406510182232
2002,United States of America,40.0610418678557
2003,Denmark,100
2003,India,28.7500479131006
2003,China,0
2003,Malta,0
2003,United States of America,41.5825536911123
2004,United States of America,43.4941977282326
2004,China,0
2004,Denmark,100
2004,Malta,0
2004,India,23.7380872474527
2005,Malta,0
2005,India,33.1631713168174
2005,China,0
2005,United States of America,45.4718464877361
2005,Denmark,99.9395492836201
2006,China,0
2006,Malta,0
2006,India,48.6465109895715
2006,Denmark,100
2006,United States of America,46.9784039796208
2007,United States of America,49.1969976519612
2007,Denmark,96.8908566314175
2007,China,0
2007,India,53.8394362471341
2007,Malta,6.42032790217839
2008,China,13.3112924397793
2008,Malta,16.611549194685
2008,Denmark,90.9695108891723
2008,United States of America,50.1077060003648
2008,India,56.5482097637391
2009,China,17.6232845143706
2009,Malta,25.1530257452507
2009,Denmark,84.9920113081578
2009,United States of America,49.8020404709347
2009,India,60.0514892995949
2010,China,35.1103213240197
2010,Denmark,77.5609403717127
2010,United States of America,48.1360382993078
2010,India,58.7334523299576
2010,Malta,33.348321678257
2011,Malta,37.4466138156042
2011,China,49.9896987215245
2011,Denmark,71.3609065441908
2011,United States of America,49.704887612779
2011,India,58.8028431757053
2012,China,59.6674638190075
2012,Malta,37.9656323105137
2012,Denmark,62.3731985874127
2012,United States of America,52.7699848012956
2012,India,61.0880829329778
2013,China,64.3258218311504
2013,Denmark,56.8146293089043
2013,United States of America,57.8299571918898
2013,India,58.3854422979745
2013,Malta,38.8244591702293
2014,China,61.295935904412
2014,Denmark,54.9064323098245
2014,United States of America,62.5097663119524
2014,Malta,40.5553680406251
2014,India,50.3656398551904
2015,China,58.1936862717361
2015,Denmark,62.2801600244931
2015,United States of America,67.2011186675141
2015,Malta,41.6465076172369
2015,India,54.3295343532878
2016,China,52.7559221495332
2016,Denmark,70.19153938487
2016,United States of America,71.7796840320832
2016,India,61.420531799997
2016,Malta,43.3598517549644
2017,China,51.7514460210616
2017,Denmark,82.5792021385797
2017,United States of America,75.8310312118506
2017,Malta,46.0179330869362
2017,India,59.5400340266768
2018,Denmark,90.3972030863725
2018,Malta,51.1006954008685
2018,United States of America,79.741681932887
2018,India,62.166206872995
2018,China,51.3981656983525
2019,Denmark,100
2019,United States of America,81.7449632546632
2019,India,64.189144619397
2019,China,53.4210704131143
2019,Malta,58.1351785073034
