Year (Date),COUNTRY,EPI Indicator Score
2010,India,53.8942489970056
2010,China,20.3546484332927
2010,United States of America,66.3191521703591
2010,Malta,60.8800798517464
2010,Denmark,25.5320156935786
2011,India,49.9339095221923
2011,Malta,47.8539977768795
2011,United States of America,71.3556443692541
2011,China,28.3749650320536
2011,Denmark,28.2230980605576
2012,China,37.398061186783
2012,United States of America,71.8117408075353
2012,Denmark,50.2114986079688
2012,Malta,29.9669143320521
2012,India,48.1051300020932
2013,China,50.9380822749053
2013,Denmark,82.4013915155163
2013,United States of America,76.8002897159767
2013,India,51.0500724570477
2013,Malta,78.9688938398708
2014,China,51.1291676087935
2014,Malta,42.8236604428725
2014,Denmark,88.5250614284924
2014,United States of America,73.5599387954936
2014,India,38.5815793926155
2015,Denmark,85.089929348025
2015,China,59.2220010449868
2015,Malta,39.6399843629544
2015,United States of America,68.1357254250764
2015,India,36.0699123219307
2016,China,54.2858360959208
2016,Denmark,77.0235924564494
2016,United States of America,60.1572516965773
2016,India,26.7910226069802
2016,Malta,71.9365787829372
2017,United States of America,50.6983905520561
2017,India,17.3856922875112
2017,China,48.9102341767019
2017,Denmark,71.9910856594206
2017,Malta,44.5895139149533
