Year (Date),COUNTRY,EPI Indicator Score
1999,Malta,39.7629952877645
1999,Denmark,52.7510333897584
1999,United States of America,61.4461704757818
1999,India,40.2155759114983
1999,China,39.2664515357983
2000,India,40.346421389906
2000,Denmark,56.8437830628269
2000,United States of America,65.3155830408989
2000,Malta,41.8834590438626
2000,China,39.1304862940282
2001,China,39.0981313084197
2001,United States of America,71.0918157321763
2001,Malta,43.3466647516385
2001,India,40.3941897844877
2001,Denmark,55.1133185047227
2002,India,41.3906097379097
2002,China,40.1540030365621
2002,Denmark,54.9552425258562
2002,Malta,41.040333160695
2002,United States of America,76.6644543285431
2003,Malta,37.3153198271953
2003,India,42.0016028017651
2003,Denmark,53.7121900093138
2003,China,39.555171924358
2003,United States of America,79.3599725711108
2004,Denmark,55.1304555961789
2004,India,42.3543068815797
2004,United States of America,78.6948495096738
2004,Malta,35.5105012583079
2004,China,36.3903249112367
2005,Malta,31.9203151236
2005,United States of America,77.111160822189
2005,China,28.6105557867217
2005,India,41.6341902936858
2005,Denmark,56.2629546158187
2006,Denmark,57.3972988714461
2006,Malta,27.0370058291191
2006,United States of America,71.1195777924669
2006,India,40.5860272507616
2006,China,20.4199900800301
2007,Denmark,57.2305108624998
2007,United States of America,62.8755913916476
2007,Malta,20.5496016718094
2007,India,38.6956091900321
2007,China,15.80067091393
2008,Denmark,58.2543773278527
2008,United States of America,54.2670881666255
2008,India,36.7712184264172
2008,China,14.034927315264
2008,Malta,17.534974499292
2009,Denmark,63.5627799974408
2009,United States of America,52.8422289962982
2009,India,35.3080232486822
2009,Malta,12.8486164336261
2009,China,14.3974809192988
2010,Malta,9.917892982233
2010,Denmark,63.0580262619071
2010,United States of America,52.8554087944624
2010,India,34.3470735552375
2010,China,15.3697486710544
2011,Denmark,60.5670655585129
2011,Malta,10.3303148124551
2011,United States of America,53.9749203479255
2011,India,33.7496751974069
2011,China,16.0119929470821
2012,Denmark,59.4607074152913
2012,United States of America,57.8917689038289
2012,Malta,35.9898780748937
2012,India,35.4796781262236
2012,China,20.258217593829
2013,United States of America,61.8687712108734
2013,India,39.2892179948678
2013,China,24.5821573674123
2013,Malta,58.8791782525293
2013,Denmark,58.841895703284
2014,India,42.8539219114323
2014,United States of America,64.7902913962856
2014,China,27.7678992864913
2014,Denmark,59.4359218585216
2014,Malta,88.988481237566
2015,United States of America,68.5226584255225
2015,Malta,100
2015,India,45.6258660845319
2015,China,30.028226984516
2015,Denmark,58.7860131349246
2016,United States of America,71.4497088816747
2016,Malta,100
2016,India,47.9257445528347
2016,Denmark,59.8192760616501
2016,China,33.3856159320788
2017,United States of America,69.2086489842724
2017,Malta,100
2017,India,48.8261211781266
2017,China,36.9588236808149
2017,Denmark,59.1781061313907
2018,United States of America,59.0683043198003
2018,Malta,100
2018,India,48.9929848070929
2018,China,41.2233007098386
2018,Denmark,56.8792121885023
2019,India,48.0232511446643
2019,United States of America,53.3388938960499
2019,China,42.9551235662386
2019,Denmark,57.518849505276
2019,Malta,81.5004716111737
