Year (Date),COUNTRY,EPI Indicator Score
1999,Malta,69.8175435772674
1999,China,0
1999,Denmark,28.877653524086
1999,United States of America,0
1999,India,0
2000,Malta,72.7605694036042
2000,China,0
2000,United States of America,0
2000,Denmark,34.0516413655501
2000,India,0
2001,Malta,70.7884699508156
2001,China,0
2001,Denmark,35.6320560831246
2001,India,0
2001,United States of America,0
2002,Malta,73.698931639514
2002,United States of America,0
2002,India,0
2002,Denmark,41.5502822181434
2002,China,0
2003,Malta,67.2524704553676
2003,United States of America,0
2003,Denmark,42.5335311952891
2003,China,0
2003,India,0
2004,China,0
2004,India,0
2004,Malta,65.1372649700716
2004,United States of America,0
2004,Denmark,49.0954061728824
2005,China,0
2005,Denmark,100
2005,Malta,63.6403839463206
2005,United States of America,0
2005,India,0
2006,Denmark,40.522956572338
2006,China,0
2006,India,0
2006,United States of America,0
2006,Malta,63.8659161015757
2007,China,0
2007,Denmark,39.2050949595034
2007,India,0
2007,United States of America,0
2007,Malta,62.1465630158051
2008,China,0
2008,United States of America,0
2008,India,0
2008,Denmark,38.7398213858896
2008,Malta,63.3524034868803
2009,China,0
2009,Denmark,41.702124060886
2009,United States of America,0
2009,Malta,64.2852177200747
2009,India,0
2010,Malta,65.8853372736453
2010,Denmark,43.1944447080068
2010,United States of America,0
2010,India,0
2010,China,0
2011,Denmark,50.2952486334556
2011,Malta,66.3503065080983
2011,United States of America,0
2011,India,0
2011,China,0
2012,Malta,67.1635693406188
2012,Denmark,100
2012,United States of America,0
2012,India,0
2012,China,0
2013,Denmark,59.6736544895858
2013,United States of America,0
2013,India,0
2013,Malta,70.0656368933079
2013,China,0
2014,Denmark,100
2014,India,0
2014,United States of America,0
2014,China,0
2014,Malta,71.8609248933865
2015,Denmark,100
2015,United States of America,0
2015,India,0
2015,China,0
2015,Malta,89.5041676947654
2016,Denmark,100
2016,United States of America,0
2016,Malta,100
2016,India,0
2016,China,0
2017,United States of America,0
2017,Denmark,100
2017,Malta,100
2017,India,0
2017,China,0
2018,Denmark,100
2018,United States of America,0
2018,Malta,100
2018,India,0
2018,China,0
2019,Denmark,100
2019,United States of America,0
2019,India,0
2019,China,0
2019,Malta,82.7591986131632
